ensembl_transcript_id,sym,ensembl_peptide_id,Spearman_Correlation,P_Value,Score,Variance,Gene,Importance,Classifier_Importance,P_Value_Corrected,Final_Composite_Score
ENSCGRT00001014855,Kif21a,ENSCGRP00001010631,0.3713907005467609,0.3007763944031942,0.061116174095634655,0.004263169758434287,9766,0.0034074456073869136,0.0,0.021822583311476365,0.11479207445776132
ENSCGRT00001021725,Rab18,ENSCGRP00001017481,0.3753068940067178,0.32679770811876174,0.05393484217200463,0.05446837622905867,15848,4.7104825764431845e-09,0.0,0.020314986685302714,0.1146235685192145
ENSCGRT00001026677,Gfpt2,ENSCGRP00001022432,0.37453871759726476,0.32158371804530717,0.05529948613870683,0.13394519503680238,20267,0.0004072897639499676,0.0,0.02060721405014481,0.1145648881015764
ENSCGRT00001016445,Mdn1,ENSCGRP00001012212,0.25357352653221077,0.006763287157635251,0.6520207879247853,0.02669907358472043,11168,0.08385036250760987,0.0,0.09077308461690582,0.11449699329901725
ENSCGRT00001023417,Npc1,ENSCGRP00001019173,0.37444834390203496,0.32097382878875724,0.055461430571721856,0.0013187650898008948,17376,9.632541177205666e-05,0.0,0.020641705461870906,0.11443238761091779
ENSCGRT00001017504,Nmt2,ENSCGRP00001013267,0.37449353074964986,0.32127868072918897,0.055380421467632786,0.0028575487700542163,12095,7.165477586503545e-06,0.0,0.02062445681337561,0.1144130128233878
ENSCGRT00001031852,Soat1,ENSCGRP00001027604,0.342681990028769,0.15157157588345974,0.13258780031553652,0.0025449434608935434,24941,1.794256599001125e-05,0.032675138117752175,0.034274276789436606,0.1144070891151089
ENSCGRT00001022710,Tysnd1,ENSCGRP00001018466,0.3744332816194966,0.320872252670967,0.0554884500064287,0.019071926827362504,16731,2.5054583693807545e-07,0.0,0.020647456319354898,0.1143948178088274
ENSCGRT00001028684,Hint2,ENSCGRP00001024438,0.3738609148830414,0.31702762541404034,0.05652127703037932,0.001553229701258348,22096,7.833011536808612e-07,0.0,0.020866473843673263,0.11424519600468352
ENSCGRT00001024202,Cdh8,ENSCGRP00001019958,0.37368016749258187,0.31581971381561963,0.056849903966884816,0.027019898760295445,18081,6.645853527837388e-05,0.0,0.020935833767227293,0.11422089411184473
ENSCGRT00001032393,Pum1,ENSCGRP00001028145,0.37375547890527333,0.3163226496992496,0.05671283162127507,0.0419011485577086,25426,9.246034626277934e-06,0.0,0.02090692232849851,0.11422057201655104
ENSCGRT00001024612,ENSCGRG00001019542,ENSCGRP00001020368,0.37345423325450744,0.3143139973473539,0.05726236079764768,0.22930472656651948,18454,5.232689305939262e-05,0.0,0.02102266644579904,0.11415685103350293
ENSCGRT00001021150,ENSCGRG00001017100,ENSCGRP00001016906,0.3721739392387523,0.30586920130428874,0.059634920791758,0.01778955418315389,15327,0.0008947028405500308,0.0,0.021517509976860156,0.1141170787635042
ENSCGRT00001002462,ENSCGRG00001002003,ENSCGRP00001001987,0.37215887695621397,0.3057707371084023,0.05966319218854263,0.018083240595847233,1820,0.0006717818824418575,0.0,0.021523359957002643,0.11403512274141911
ENSCGRT00001013100,Tiparp,ENSCGRP00001008940,0.3729119910831288,0.3107191978122027,0.05825986512002765,0.00747844250530527,8345,1.7578489052162604e-05,0.0,0.021231667399515278,0.11400291653605842
ENSCGRT00001018041,Hycc1,ENSCGRP00001013803,0.3701706556611589,0.2929543673286144,0.06346905105016214,0.07360359523313044,12563,0.002035890531922509,0.0,0.022301353143945133,0.11399389369891508
ENSCGRT00001032065,Rnpepl1,ENSCGRP00001027817,0.37264086999743945,0.3089318154221284,0.058762658323401766,0.023678132677655565,25136,2.9265148011511927e-05,0.0,0.021336487217346604,0.11393615252277052
