ensembl_transcript_id,sym,ensembl_peptide_id,Spearman_Correlation,P_Value,Score,Variance
ENSCGRT00001024701,Mcm4,ENSCGRP00001020457,0.629887482419128,3.859215440742032e-10,5.929446430685089,0.00045856408753086044
ENSCGRT00001009954,U1-ENSCGRG00001008564,non-coding,0.629887482419128,3.859215440742032e-10,5.929446430685089,0.00045856408753086044
ENSCGRT00001009725,Med23,ENSCGRP00001006212,0.629887482419128,3.859215440742032e-10,5.929446430685089,0.00045856408753086044
ENSCGRT00001016373,Epb41l4a,ENSCGRP00001012140,0.629887482419128,3.859215440742032e-10,5.929446430685089,0.00045856408753086044
ENSCGRT00001017260,Tmem129,ENSCGRP00001013024,0.629887482419128,3.859215440742032e-10,5.929446430685089,0.00045856408753086044
ENSCGRT00001004016,U1-ENSCGRG00001003347,non-coding,0.629887482419128,3.859215440742032e-10,5.929446430685089,0.00045856408753086044
ENSCGRT00001019725,S100a5,ENSCGRP00001015482,0.629887482419128,3.859215440742032e-10,5.929446430685089,0.00045856408753086044
ENSCGRT00001014161,Sqle,ENSCGRP00001009941,0.629887482419128,3.859215440742032e-10,5.929446430685089,0.00045856408753086044
ENSCGRT00001012747,Jrkl,ENSCGRP00001008618,0.629887482419128,3.859215440742032e-10,5.929446430685089,0.00045856408753086044
ENSCGRT00001025072,Atm,ENSCGRP00001020828,0.6297702766057196,3.896906530259347e-10,5.9256848751296864,0.000431538499524049
ENSCGRT00001013640,Tmem106a,ENSCGRP00001009429,0.629606188466948,3.950266203345085e-10,5.920422234222876,0.00044983916211516347
ENSCGRT00001017335,ENSCGRG00001014333,ENSCGRP00001013098,0.629606188466948,3.950266203345085e-10,5.920422234222876,0.00044983916211516347
ENSCGRT00001029892,Cfap276,ENSCGRP00001025646,0.629606188466948,3.950266203345085e-10,5.920422234222876,0.00044983916211516347
ENSCGRT00001011499,ENSCGRG00001009873,non-coding,0.629606188466948,3.950266203345085e-10,5.920422234222876,0.00044983916211516347
ENSCGRT00001027977,Rxfp1,ENSCGRP00001023731,0.629606188466948,3.950266203345085e-10,5.920422234222876,0.00044983916211516347
ENSCGRT00001004280,U2-ENSCGRG00001003573,non-coding,0.629606188466948,3.950266203345085e-10,5.920422234222876,0.00044983916211516347
ENSCGRT00001001282,Clcn1,ENSCGRP00001001253,0.629606188466948,3.950266203345085e-10,5.920422234222876,0.00044983916211516347
ENSCGRT00001012131,Ifrd2,ENSCGRP00001008034,0.629606188466948,3.950266203345085e-10,5.920422234222876,0.00044983916211516347
ENSCGRT00001016702,Serpinb11,ENSCGRP00001012468,0.629606188466948,3.950266203345085e-10,5.920422234222876,0.00044983916211516347
ENSCGRT00001006729,Pcnx,ENSCGRP00001004482,0.629606188466948,3.950266203345085e-10,5.920422234222876,0.00044983916211516347
ENSCGRT00001018510,D030056L22Rik,ENSCGRP00001014273,0.629606188466948,3.950266203345085e-10,5.920422234222876,0.00044983916211516347
ENSCGRT00001006867,E230025N22Rik,ENSCGRP00001004566,0.629606188466948,3.950266203345085e-10,5.920422234222876,0.00044983916211516347
ENSCGRT00001024789,Wars1,ENSCGRP00001020545,0.629606188466948,3.950266203345085e-10,5.920422234222876,0.00044983916211516347
