ensembl_transcript_id,In Regressor,In Spearman+Regressor,In Classifier,In Composite,Total Hits
ENSCGRT00001014458,False,False,False,True,1
ENSCGRT00001001192,False,False,True,False,1
ENSCGRT00001021397,True,False,False,False,1
ENSCGRT00001028583,False,True,False,False,1
ENSCGRT00001018689,True,False,False,False,1
ENSCGRT00001008821,False,False,False,True,1
ENSCGRT00001028470,False,False,False,True,1
ENSCGRT00001024931,False,True,False,False,1
ENSCGRT00001025013,False,True,False,False,1
ENSCGRT00001027777,False,True,False,False,1
ENSCGRT00001018821,False,True,False,False,1
ENSCGRT00001016445,True,False,False,False,1
ENSCGRT00001006936,False,False,False,True,1
ENSCGRT00001001568,True,False,False,False,1
ENSCGRT00001020106,False,False,False,True,1
ENSCGRT00001028374,False,False,False,True,1
ENSCGRT00001029334,False,False,True,False,1
ENSCGRT00001000393,False,False,True,False,1
ENSCGRT00001009556,False,False,True,False,1
ENSCGRT00001014348,False,False,False,True,1
ENSCGRT00001015171,True,False,False,False,1
ENSCGRT00001016958,False,True,False,False,1
ENSCGRT00001019270,True,False,False,False,1
ENSCGRT00001031936,True,False,False,False,1
ENSCGRT00001010538,False,False,False,True,1
ENSCGRT00001022322,False,False,True,False,1
ENSCGRT00001018493,False,False,True,False,1
ENSCGRT00001027554,False,False,True,False,1
ENSCGRT00001002198,False,True,False,False,1
ENSCGRT00001020283,False,False,False,True,1
ENSCGRT00001019212,False,True,False,False,1
ENSCGRT00001031594,True,False,False,False,1
ENSCGRT00001026854,False,False,True,False,1
ENSCGRT00001019931,False,False,False,True,1
ENSCGRT00001002312,False,False,False,True,1
ENSCGRT00001031724,False,True,False,False,1
ENSCGRT00001002595,True,False,False,False,1
ENSCGRT00001030969,False,True,False,False,1
ENSCGRT00001025163,False,False,False,True,1
ENSCGRT00001015000,False,False,False,True,1
ENSCGRT00001012772,False,False,True,False,1
ENSCGRT00001031802,False,True,False,False,1
ENSCGRT00001001975,False,False,True,False,1
ENSCGRT00001025938,True,False,False,False,1
ENSCGRT00001000009,False,False,False,True,1
ENSCGRT00001021457,False,False,True,False,1
ENSCGRT00001024130,True,False,False,False,1
ENSCGRT00001020403,False,True,False,False,1
ENSCGRT00001025652,False,True,False,False,1
