ensembl_transcript_id,sym,ensembl_peptide_id,Gene,Importance
ENSCGRT00001019110,Vps25,ENSCGRP00001014872,13511,0.0010608402263925956
ENSCGRT00001023546,Rbm26,ENSCGRP00001019302,17496,0.0010443113956618213
ENSCGRT00001031275,Galnt10,ENSCGRP00001027028,24413,0.001040451191908034
ENSCGRT00001025118,Nsd3,ENSCGRP00001020874,18900,0.001024999535760764
ENSCGRT00001024381,Zfp180,ENSCGRP00001020137,18249,0.001015020527990584
ENSCGRT00001023787,Brd3,ENSCGRP00001019543,17714,0.0010078843362970819
ENSCGRT00001013897,ENSCGRG00001011743,ENSCGRP00001009678,8971,0.0009915332089118736
ENSCGRT00001032307,Myo6,ENSCGRP00001028059,25349,0.0009899406518782106
ENSCGRT00001029658,Pacs2,ENSCGRP00001025412,22954,0.0009717531604682729
ENSCGRT00001008035,Ccdc122,ENSCGRP00001005246,4991,0.000970036058107325
ENSCGRT00001029688,Slc44a1,ENSCGRP00001025442,22982,0.0009670285801078787
ENSCGRT00001027653,Cept1,ENSCGRP00001023407,21157,0.000964250855102439
ENSCGRT00001032546,ENSCGRG00001025048,ENSCGRP00001028298,25564,0.0009551162293596154
ENSCGRT00001017707,Rbm18,ENSCGRP00001013470,12272,0.0009465301902134095
ENSCGRT00001017704,Pcf11,ENSCGRP00001013467,12269,0.0009403076507550569
ENSCGRT00001020804,Epha10,ENSCGRP00001016560,15021,0.0009319435021093119
ENSCGRT00001029467,Vat1l,ENSCGRP00001025221,22786,0.0009261535640580512
ENSCGRT00001002406,Glrb,ENSCGRP00001001954,1789,0.000920208250466647
ENSCGRT00001000838,Sfmbt1,ENSCGRP00001000814,750,0.0009124862332912236
ENSCGRT00001030284,Thbs2,ENSCGRP00001026038,23518,0.000905333240205516
ENSCGRT00001024620,Ppwd1,ENSCGRP00001020376,18459,0.0009014957366159103
ENSCGRT00001027180,Zgrf1,ENSCGRP00001022935,20720,0.0008784590857154719
ENSCGRT00001009403,Mc2r,ENSCGRP00001006039,5739,0.0008671906617817689
ENSCGRT00001032404,Slc34a1,ENSCGRP00001028156,25436,0.0008588669282392669
ENSCGRT00001003000,Rasl10a,ENSCGRP00001002311,2129,0.0008536487509468593
ENSCGRT00001024629,Cdkn2d,ENSCGRP00001020385,18468,0.0008525712631874919
ENSCGRT00001022794,Cyp39a1,ENSCGRP00001018550,16806,0.0008492916115995855
ENSCGRT00001017789,Tspan2,ENSCGRP00001013552,12342,0.0008479649405659455
